a1,a2,a3,a4,a5,a6,a7,a8,emotions
2.8242,3.5355,2.6402,1.5217,1.9278,3.5355,1.8868,1.2554,angry
3.161,2.5,3.0952,2.3809,2.0332,3.821,1.962,1.5205,angry
2.6627,2.325,3.7518,2.4516,2.0074,3.5355,1.8722,1.3601,angry
2.6682,1.8647,2.8316,1.7526,3.0737,5.0111,1.9967,1.4649,angry
3.257,4.0552,2.8722,3.0703,2.4827,2.7116,2.1762,1.419,angry
3.7284,1.5556,2.6,3.3955,2.1538,2.6304,1.6921,1.7273,angry
2.2594,2.2902,2.38,1.6178,2.7466,2.9205,2.091,1.1999,angry
2.2509,2.6667,5.9598,4.8543,2.4271,2.9205,2.2422,1.25,angry
3.2062,2.5,2.6887,1.6758,2.0109,3.6818,1.9938,1.7,angry
2.858,4.6667,3.6749,3.0267,7.145,5.3437,1.6842,1.5,angry
2.8601,2.325,4.76,2.3157,2.687,3.2882,2.0654,1.4916,angry
2.6277,4.3056,5.5351,3.2722,2.6174,2.8636,1.9178,1.3027,angry
3.6846,1.3868,2.7693,1.8266,1.8266,3.2596,2.0934,1.7978,angry
2.7377,3.3955,4.2332,2.3621,2.5334,4.7539,1.5978,1.2877,angry
2.4125,4.25,3.7033,1.9339,2.2407,3.75,1.8667,1.2353,angry
3.1543,2.1412,2.7347,2.3648,3.2564,3.3886,2.0939,1.5684,angry
3.1275,1.6,3.4782,1.9583,3.4239,5.0111,2.0632,1.5637,angry
2.5625,1.7778,3.0624,1.6274,2.6038,3.4059,1.704,1.3125,angry
2.9323,3.4928,4.0276,2.0809,2.3011,4.0139,1.8439,1.4598,angry
3.4415,1.8158,2.1678,2.4645,2.0944,2.6077,1.9235,1.6322,angry
2.8003,1.7365,3.6128,3.2057,2.1306,2.75,2.3706,1.2936,angry
2.8008,2.9417,2.2373,1.6418,2.2257,2.8,2.0763,1.4727,angry
3.0,3.2,3.1931,1.9019,5.5555,3.2,2.1875,1.6875,angry
2.7435,2.3859,2.7072,2.1444,2.1654,2.6101,2.2545,1.3557,angry
1.9551,1.9918,5.0083,2.1402,2.0,5.3759,1.8833,1.0919,angry
3.0007,3.0,5.6,2.2356,1.9561,2.7996,1.8828,1.5348,angry
2.5008,2.0,3.5725,1.4468,2.8545,2.9104,2.4167,1.3125,angry
2.6257,2.0,3.2125,2.0329,2.3554,2.4,2.5014,1.3764,angry
3.1548,4.3333,3.5599,2.0764,2.8784,3.144,1.9347,1.7709,angry
2.6979,2.0934,3.5179,1.4479,1.8179,4.2164,2.5125,1.2652,angry
2.4914,2.4083,2.5,1.5305,3.061,4.5607,1.9636,1.2457,angry
3.0671,4.4045,3.3036,3.0764,3.2013,2.5495,2.0439,1.4538,angry
