a1,a2,a3,a4,a5,a6,a7,a8,emotions
2.6683,5.0,4.1226,3.2078,3.1532,3.5355,1.7367,1.2649,angry
2.9699,2.1934,3.485,2.0555,2.1372,2.5795,2.1625,1.5288,angry
2.7222,2.1401,2.6092,1.5155,2.9901,3.7583,2.0,1.4553,angry
3.0811,3.8471,2.8722,3.0811,2.4914,2.7951,2.1762,1.419,angry
3.5843,1.4884,3.3491,2.2311,1.9387,3.2,1.6979,1.7579,angry
2.2541,2.6509,2.4418,2.0323,3.0022,3.2882,1.9249,1.2542,angry
2.1875,2.6304,5.8579,3.3222,2.2148,2.2,2.3636,1.1875,angry
3.7843,2.25,2.7153,2.2062,3.1518,6.0208,1.827,1.7778,angry
2.858,4.6667,3.9156,3.0267,7.145,5.3437,1.7477,1.5,angry
3.244,2.1435,5.712,3.6599,3.4064,3.0414,2.2255,1.6179,angry
3.693,1.9003,2.6617,2.1935,1.8802,3.2596,2.0,1.6687,angry
2.8714,3.5,3.5931,2.3621,2.5334,4.4385,1.7114,1.2877,angry
2.3537,2.8333,3.0267,1.9339,2.2407,5.0,1.8667,1.2941,angry
2.9771,4.8374,3.3879,1.7977,2.2168,2.7735,1.9416,1.4618,angry
2.5808,3.6401,2.7578,2.3659,3.6069,3.5609,1.6798,1.4393,angry
2.5844,1.7029,3.0537,1.9026,3.3457,4.7539,1.9956,1.4106,angry
2.9276,1.5033,2.3289,2.4194,2.9033,4.2573,1.7626,1.4634,angry
2.8299,4.9396,3.4522,1.6634,2.4539,4.0139,1.857,1.4598,angry
3.5,1.5811,2.75,2.7755,1.8245,3.0414,1.7262,1.6031,angry
2.9428,1.7545,3.0857,2.7197,2.4186,2.4375,2.6043,1.3612,angry
2.67,3.0,2.5916,2.4786,3.6566,2.8071,2.1422,1.4727,angry
2.9375,3.2,3.2363,1.6125,3.97,3.2062,2.1832,1.6875,angry
2.7435,2.4331,2.9232,2.1444,1.8099,2.6101,2.2545,1.3381,angry
1.9985,2.1913,4.0156,2.1238,2.2979,8.5,1.8235,1.0444,angry
2.9382,3.2,4.2857,2.306,2.306,2.2672,1.9971,1.4389,angry
2.3133,1.7778,3.6749,1.5651,2.4796,3.7947,2.3348,1.3125,angry
2.625,2.0,2.3333,2.0808,2.6513,1.8333,2.8196,1.375,angry
3.3086,6.5,3.4314,2.0764,2.8784,3.144,1.8724,1.7709,angry
2.6271,2.3989,4.0727,1.4029,1.698,4.219,2.4552,1.3611,angry
3.3773,4.0,2.6738,2.5642,2.4967,2.8636,1.6601,1.25,angry
3.0,2.8284,3.3282,2.6427,2.6427,3.0,1.8168,1.3807,angry
3.2988,4.3461,2.3095,1.8264,4.1345,2.8,2.0714,1.764,angry
2.9091,1.3644,5.5,2.7385,2.2361,4.0139,1.9931,1.4545,angry
