a1,a2,a3,a4,a5,a6,a7,a8,emotions
2.44868,6.61602,4.23388,1.73916,2.31994,4.11729,1.20934,1.91721,angry
2.16148,5.52209,3.82868,1.97725,2.40031,2.26482,1.49139,1.56998,angry
2.28467,2.49256,2.66309,1.77959,1.69187,2.03065,1.60365,1.714,angry
2.27447,1.84304,3.85176,1.57806,1.6393,1.93638,1.80255,1.72316,angry
2.56439,2.07151,2.92102,1.61626,1.71421,2.19614,1.59462,2.04906,angry
2.3118,4.59048,5.36591,1.91147,1.82299,2.07215,1.63709,1.69633,angry
2.39511,1.78306,4.73516,1.87019,1.16802,1.7834,1.67822,1.76618,angry
2.00797,2.97661,3.10639,1.80362,1.877,1.89707,1.72686,1.56736,angry
2.17138,2.54069,3.6981,1.73182,1.57732,1.69385,1.93704,1.66677,angry
2.74035,2.21462,3.09715,1.74864,1.38764,1.74499,1.78626,2.13353,angry
2.35797,6.75979,3.25049,1.64735,2.23519,3.92567,1.22517,1.80664,angry
2.60657,4.49569,3.77266,1.7623,2.00882,4.61642,1.193,2.04389,angry
2.06555,4.82906,5.85755,1.92579,1.70933,1.78256,1.80666,1.52752,angry
2.65311,1.66752,3.16153,1.64232,1.18784,2.06168,1.63184,2.08021,angry
2.36614,4.18303,3.73404,1.84268,1.62115,2.80075,1.39993,1.72548,angry
2.09803,4.93173,3.66601,1.5369,1.76413,2.70616,1.41831,1.61379,angry
1.95125,5.03905,3.28048,1.626,1.27968,2.14231,1.52542,1.47107,angry
2.23659,1.80001,3.36237,1.76509,1.80113,2.02471,1.74044,1.73558,angry
2.14871,2.54094,3.26304,1.63677,2.17954,2.99019,1.42178,1.72279,angry
2.39172,3.43944,2.94099,1.60254,1.94727,2.85226,1.39651,1.85731,angry
2.24081,4.46903,3.30998,1.80691,1.9735,2.51305,1.44323,1.66627,angry
2.2189,2.74654,3.24542,1.76835,1.65959,1.7264,1.8146,1.68707,angry
2.211,1.74996,5.00338,1.84827,1.8504,1.57411,1.98182,1.63862,angry
2.16804,2.4947,3.3915,1.72961,1.92135,2.35683,1.53776,1.63608,angry
2.35422,3.91784,3.80995,1.88601,1.96959,1.83205,1.7224,1.78242,angry
2.05909,4.52748,4.3006,1.74518,2.18985,4.61407,1.16868,1.5575,angry
1.98075,2.00161,6.57032,1.55263,1.59116,3.11973,1.46837,1.52158,angry
2.39149,3.88768,2.7047,1.60293,1.4073,2.2108,1.52831,1.88313,angry
2.50865,4.40507,2.96541,1.53709,1.80718,2.98728,1.37018,1.88378,angry
2.15808,2.77208,3.72844,1.88551,1.96569,1.71254,1.75788,1.62641,angry
1.85433,2.94624,5.3018,1.55028,1.75272,3.19521,1.42263,1.43144,angry
2.56629,3.37903,3.01175,1.70124,1.46539,2.80647,1.30749,1.98932,angry
2.26359,3.74711,4.65249,1.68432,1.59702,2.20215,1.52472,1.71341,angry
2.17555,1.49011,4.21441,1.65476,1.77805,2.25687,1.71325,1.69973,angry
2.09677,1.84183,3.85988,1.62282,1.43662,1.94654,1.76075,1.57926,angry
2.24904,2.47109,3.57365,1.59568,1.51775,1.341,2.22904,1.72401,angry
2.41146,3.19602,3.09373,1.62591,1.79495,2.33537,1.50686,1.84272,angry
2.31077,3.29067,3.06058,1.87542,1.65906,2.26311,1.50226,1.73006,angry
2.23416,3.5376,3.4347,2.08709,2.36035,1.89513,1.63062,1.60699,angry
2.07835,4.19867,4.87185,1.77027,1.87908,1.83008,1.69641,1.61341,angry
2.55969,2.87443,3.15718,1.66498,1.62591,1.94145,1.63036,2.03488,angry
2.3695,5.40315,2.77696,1.69317,2.07869,2.95905,1.34464,1.8329,angry
2.44101,1.64818,7.75858,1.78541,1.632,1.52027,2.0526,1.78417,angry
1.97177,6.31989,3.62821,1.68696,1.74569,2.73061,1.37351,1.47744,angry
2.21889,5.36634,3.45035,1.75671,1.64149,2.13564,1.59522,1.69419,angry
2.15881,1.70598,3.47437,1.53913,1.73544,3.47021,1.43063,1.6749,angry
2.52184,3.82723,2.73536,1.50195,1.44177,2.81005,1.43921,1.93072,angry
2.2889,5.65308,3.35363,1.64636,1.84603,2.63705,1.3799,1.77884,angry
2.42497,1.70235,3.34172,1.8549,1.59858,1.99334,1.69633,1.84758,angry
1.94727,4.33673,3.5502,1.75694,2.47529,3.07719,1.31703,1.46701,angry
2.21791,5.34156,9.8154,1.85922,1.67867,1.56157,1.92567,1.68326,angry
2.36636,3.98314,3.0823,1.67755,1.63667,2.3918,1.53956,1.79521,angry
2.28485,4.14358,3.14673,1.74142,2.05888,2.27047,1.5409,1.74935,angry
2.34192,3.94264,2.54592,1.95658,2.72515,2.07151,1.55356,1.76654,angry
2.31169,2.16109,4.11534,1.82031,1.89202,2.17474,1.61921,1.62513,angry
2.46541,1.69683,3.99695,1.70715,1.51207,1.52682,2.0721,1.83249,angry
2.43601,3.16376,2.48548,1.71257,2.16517,2.41678,1.45255,1.8423,angry
2.04865,1.82371,3.74934,1.79551,1.95077,2.69746,1.48485,1.56007,angry
2.04845,6.3032,4.23648,1.84211,1.56525,1.35434,2.01285,1.537,angry
2.04215,4.48353,4.54324,1.63658,1.75612,3.86678,1.27804,1.61039,angry
2.20762,1.64279,3.94104,1.81911,1.45175,2.31184,1.53219,1.64323,angry
2.03567,1.63873,3.737,1.49997,1.41003,2.01767,1.78788,1.60169,angry
2.42021,4.69804,5.02067,1.88642,1.83937,2.64954,1.49979,1.78136,angry
2.18093,1.88318,4.60968,1.63402,1.3314,2.26812,1.54185,1.71049,angry
2.18313,1.21259,5.75504,1.7491,1.70664,1.69229,2.08728,1.64906,angry
2.49198,1.68135,3.18827,1.69964,1.5627,2.23009,1.56289,1.95708,angry
1.99983,2.72075,4.38859,1.49679,1.69565,3.25037,1.33972,1.61097,angry
2.50225,3.52481,3.85448,1.70825,1.71684,1.93555,1.63277,1.91751,angry
2.30733,3.37847,3.44271,1.51086,1.88232,3.79326,1.26437,1.79442,angry
2.1708,3.07574,3.05554,1.69954,2.56116,2.37416,1.44703,1.69694,angry
2.19688,2.34596,6.37811,1.70493,1.90605,2.90213,1.46873,1.6974,angry
2.21784,3.08858,2.88034,1.78395,2.07386,1.93152,1.64846,1.61949,angry
2.3941,4.93148,4.84267,1.80248,1.79289,1.90367,1.70933,1.81865,angry
2.15959,2.07243,2.89932,1.62959,1.74551,2.12291,1.55739,1.63646,angry
2.00834,1.97871,4.09225,1.57409,1.64866,2.36197,1.59949,1.58454,angry
2.08541,2.02018,4.71226,1.82458,1.83044,2.23089,1.61005,1.52483,angry
2.14273,3.72596,2.54885,1.47746,1.77048,3.35142,1.30778,1.63764,angry
2.40775,3.75666,2.82218,1.62893,1.74251,2.06729,1.61682,1.82548,angry
1.9107,2.2323,3.51108,1.76662,1.6519,1.60082,1.90925,1.45939,angry
2.03774,1.90957,4.19633,1.8406,1.8502,2.17063,1.65989,1.5531,angry
2.40742,4.31411,2.58676,1.67907,1.65676,3.31567,1.34438,1.86534,angry
2.19188,1.85242,3.35622,1.5649,1.55932,2.45557,1.57236,1.70673,angry
2.21574,2.58058,3.21332,1.84926,1.77927,1.71806,1.75259,1.62974,angry
2.21544,3.66814,2.46082,1.46284,1.54826,2.14312,1.58575,1.75194,angry
2.28603,1.61736,3.95804,1.71561,1.82008,1.63074,1.97445,1.7605,angry
2.09364,3.08547,3.78304,1.88042,1.81311,2.69519,1.47461,1.5623,angry
2.21179,3.31168,3.08887,2.01895,1.90183,1.68646,1.8142,1.64416,angry
2.35934,3.78994,3.06679,1.65977,1.6366,2.49093,1.43735,1.77209,angry
2.04275,2.53726,2.86423,1.68648,1.98224,3.149,1.40822,1.58141,angry
2.54692,3.59818,2.86988,1.69378,1.60592,2.18522,1.61351,1.89269,angry
